artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama
Skillz,2011 Rap Up,The Rap Up (2002-2012) (10 Year Anniversary),2013,Obama,46.5,"33,307",26.2,14.2,,eand petey pablo need reverenddawg gun airport 911obama still tryna thingthey caught ti three pills 
Kery James,9Trap Music,Dernier MC,2013,Obama,46.5,"34,235",26.2,14.2,,ent ne fais pas de peurace rappeur te ment barack obamatu crois encore au changement cest qutaimes l
Kery James,9Trap Music,Dernier MC,2013,Obama,46.5,"33,307",26.2,14.2,,ent ne fais pas de peurace rappeur te ment barack obamatu crois encore au changement cest qutaimes l
Skillz,2012 Rap Up,The Rap Up (2002-2012) (10 Year Anniversary),2013,Obama,46.5,"34,235",26.2,14.2,, manbath salt zombies tubessame sex marriages yes obama would approvedrake met chris brown bottle be
Skillz,2012 Rap Up,The Rap Up (2002-2012) (10 Year Anniversary),2013,Obama,46.5,"33,307",26.2,14.2,, manbath salt zombies tubessame sex marriages yes obama would approvedrake met chris brown bottle be
Shad,Stylin,Flying Colours,2013,Obama,46.5,"34,235",26.2,14.2,,mayeah im running like kenyan see im running like obamaon ticket wicked broadway play witches ittell
Shad,Stylin,Flying Colours,2013,Obama,46.5,"33,307",26.2,14.2,,mayeah im running like kenyan see im running like obamaon ticket wicked broadway play witches ittell
Ace Hood,December 31st,Starvation 2,2013,Obama,46.5,"34,235",26.2,14.2,,eed army gone need navy gonna need soldiers maybe obamaits we the bes carry tnone niggas matter meju
Ace Hood,December 31st,Starvation 2,2013,Obama,46.5,"33,307",26.2,14.2,,eed army gone need navy gonna need soldiers maybe obamaits we the bes carry tnone niggas matter meju
YG Hootie,Two Presidents,Destroy & Rebuild,2013,Obama,46.5,"34,235",26.2,14.2,,ell yg hold choppai aint gonna lie i feeling like obamashootin shit wit dave mama knock cominthis il
YG Hootie,Two Presidents,Destroy & Rebuild,2013,Obama,46.5,"33,307",26.2,14.2,,ell yg hold choppai aint gonna lie i feeling like obamashootin shit wit dave mama knock cominthis il
Ace Hood,Hope,Trials & Tribulations,2013,Obama,46.5,"34,235",26.2,14.2,,rdaneven though i really afford itwhos say i cant obamaa tiger woods worth billion dollarseverybody 
Ace Hood,Hope,Trials & Tribulations,2013,Obama,46.5,"33,307",26.2,14.2,,rdaneven though i really afford itwhos say i cant obamaa tiger woods worth billion dollarseverybody 
Wale,Gullible,The Gifted,2013,Obama,46.5,"34,235",26.2,14.2,, internet soldiers everybody carrying maxand said obama raidhe actually got gut tan scratch pair bla
Wale,Gullible,The Gifted,2013,Obama,46.5,"33,307",26.2,14.2,, internet soldiers everybody carrying maxand said obama raidhe actually got gut tan scratch pair bla
R.A. The Rugged Man,Learn Truth,Legends Never Die,2013,Obama,46.5,"34,235",26.2,14.2,,ws cause facts deadthe trust gone neocons barrack obamaamerica eats young casey anthony octomomfix m
R.A. The Rugged Man,Learn Truth,Legends Never Die,2013,Obama,46.5,"33,307",26.2,14.2,,ws cause facts deadthe trust gone neocons barrack obamaamerica eats young casey anthony octomomfix m
J. Cole,Ain't That Some Shit (Interlude),Born Sinner (Deluxe Version),2013,Obama,46.5,"34,235",26.2,14.2,,d gon ballisticcole missed itthat nigga walk like obama manshake yo mommas hand kissed itthis pimp s
J. Cole,Ain't That Some Shit (Interlude),Born Sinner (Deluxe Version),2013,Obama,46.5,"33,307",26.2,14.2,,d gon ballisticcole missed itthat nigga walk like obama manshake yo mommas hand kissed itthis pimp s
Lil Wayne,Curtains,I Am Not a Human Being II,2013,Obama,46.5,"34,235",26.2,14.2,,himi get adam like yolondayoung money cash moneys obamaits fuck world condomif twisted ill unwind hi
Lil Wayne,Curtains,I Am Not a Human Being II,2013,Obama,46.5,"33,307",26.2,14.2,,himi get adam like yolondayoung money cash moneys obamaits fuck world condomif twisted ill unwind hi
JAY-Z,Open Letter,Magna Carta... Holy Grail,2013,Obama,46.5,"34,235",26.2,14.2,,ing seatyall buy bullshit better keep yall receiptobama said chill gonna get impeachedbut need shit 
JAY-Z,Open Letter,Magna Carta... Holy Grail,2013,Obama,46.5,"33,307",26.2,14.2,,ing seatyall buy bullshit better keep yall receiptobama said chill gonna get impeachedbut need shit 
Vado,Look Me In My Eyes,Sinatra,2014,Obama,42.4,"34,458",26.2,35.5,m known scoring bunchhaving bunch plaza top floor trumpwhat grabbed whole year i bagged monthhah tha,
Hoodie Allen,Sirens,People Keep Talking,2014,Obama,42.4,"34,458",26.2,35.5,ppin box toyi get low i bet get lot boylast night trump towers taking drunk showersat airport went b,
Jon Cozart,After Ever After 3,After Ever After,2014,Obama,42.4,"34,458",26.2,35.5,ter pan hair junkhercules jesus hunkaladdin screw trump,
Cam'ron,Dipshits,Federal Reserve,2014,Obama,42.4,"34,458",26.2,35.5,ney eighty degrees pumpslookin me top floor suite trump babycause stupidity send fire humidityno one,
Tory Lanez,Priceless,Lost Cause,2014,Obama,42.4,"34,458",26.2,35.5,thats type fitnessim countin money like im donald trumplet niggas know yappas reloadgot ground stand,
Migos,Cross The Country,Rich Nigga Timeline,2014,Obama,42.4,"34,458",26.2,35.5,,non first lick got little bit changethinking like obama something gotta changedid lot dirt i sit cha
Diabolic,Suffolk's Most Wanted,Fightin Words,2014,Obama,42.4,"34,458",26.2,35.5,,l slap slam like hogan versus kamala whether bush obamaits soap opera im embodiment cold crush bamba
Popcaan,Number One Freak,Where We Come From,2014,Obama,42.4,"34,458",26.2,35.5,,nourme bounty give hammershe crown president like obamaoh baby thatshe touch weak spotwhat bloodlcla
Trip Lee,You Don't Know,Rise,2014,Obama,42.4,"34,458",26.2,35.5,, i feel like im glidingrunning make election sure obamabidenevery day im homicidekilling feeling wit
Eric Bellinger,Or Nah,The ReBirth,2014,Obama,42.4,"34,458",26.2,35.5,,les i thank ass mamma gave youthose student loans obama gave youcause bought hard like sitting late 
Black M,Blacklines,Les yeux plus gros que le monde,2014,Obama,42.4,"34,458",26.2,35.5,,ulliverici aucun de mes niggas ne peut dire comme obama aller yes we canakhi surveille ta fille si e
Deniro Farrar,Bow Down,Rebirth,2014,Obama,42.4,"34,458",26.2,35.5,,ma outscratch that knock harry potter outhit head obamas couch nail obamas scalpyall niggas sauerkra
Kid Ink,Murda,My Own Lane,2014,Obama,42.4,"34,458",26.2,35.5,,
Migos,Who The Hell,Streets on Lock 3,2014,Obama,42.4,"34,458",26.2,35.5,,like water wellsi got bombs osamapresident rollie obamaforty pornosyou see diamondsfrom cross corner
Devilman,Drum and Bass Father,Devilman's State of Mind,2014,Obama,42.4,"34,458",26.2,35.5,,omes around like karmafuck president fuck barrack obamaall i give fuck guns armorcos im addictive li
Rick Ross,Mafia Music III,Mastermind,2014,Obama,42.4,"34,458",26.2,35.5,,ryheroin sales detectivesll sella lot yellow tape obama carethis mob bitch silk underwearyeezy conce
Rich Homie Quan,Milk Marie,Rich Gang: Tha Tour Part 1,2014,Obama,42.4,"34,458",26.2,35.5,,ke im osamacampaign made million profited like im obamalactose intolerant iont drinkmilk marie got p
J. Cole,January 28th,2014 Forest Hills Drive,2014,Obama,42.4,"34,458",26.2,35.5,,ow new yorks ladderi climb set bar high gotta get obama force air force find itnever mind it never r
