artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama,TrumpSentiment,ObamaSentiment
Freddie Gibbs,10 Times,Shadow of a Doubt,2015,Obama,46.3,"36,105",24.1,26.8,powerball hofinna make money shower fall hosmokin trump tower bout call honigga finna make money sho,,Negative,Not Mentioned
Jeremih,Giv No Fuks,Late Nights: The Album,2015,Obama,46.3,"36,105",24.1,26.8,ed bone head color tonka truckwake morning donald trumproom 22 hit 69started tron im henny nowbitch ,,Negative,Not Mentioned
Rick Ross,Free Enterprise,Black Market,2015,Obama,46.3,"36,105",24.1,26.8, famousor cause im rich i know pain isassassinate trump like im zimmermannow accept words came emine,,Positive,Not Mentioned
Kendrick Lamar,Black Friday,Black Friday,2015,Obama,46.3,"36,105",24.1,26.8,r got near sunplay him bitch better voting donald trumpim yelling mr kanye west presidenthe probably,,Negative,Not Mentioned
Lil Dicky,Bruh...,Professional Rapper,2015,Obama,46.3,"36,105",24.1,26.8,,hit hoes first tell mombut year ima bend michelle obamabruh know i gotta im hotim tryna get blue sta,Not Mentioned,Positive
Migos,Shmoney Never Stop,Migo Lingo,2015,Obama,46.3,"36,105",24.1,26.8,,brain x6 i seen nasty bitch sincecall young quavo obama i got secret service president tintspinky ri,Not Mentioned,Negative
Migos,Pamela,Back to the Bando,2015,Obama,46.3,"36,105",24.1,26.8,,ortantnever extortedmy niggas importantim takeoff obama cause i get escorted24 carat cant shit toile,Not Mentioned,Positive
Migos,Aight,Still On Lock,2015,Obama,46.3,"36,105",24.1,26.8,,e outta sightnorthside i came fromput buss rollie obama onyrn label wirecommit team i buy charmsecre,Not Mentioned,Positive
Troy Ave,Your Style (Remix),Major Without A Deal,2015,Obama,46.3,"36,105",24.1,26.8,,ming yacause mae welfarepay health care thats got obama fori got cps cp got yeezys yeezythe chick um,Not Mentioned,Positive
Kid Ink,About Mine,Full Speed,2015,Obama,46.3,"36,105",24.1,26.8,,nigga i aint got timeif bezel aint diamonds presi obamapool bahamas black ferragamoneed condoms fuck,Not Mentioned,Negative
Rick Ross,World's Finest,Black Dollar,2015,Obama,46.3,"36,105",24.1,26.8,, deep throatspuerto ricans cocaina speedboatsfuck obamacare i want kiloi keep stick rolls royceyou n,Not Mentioned,Positive
Young Scooter,Hit It Raw,Juggathon,2015,Obama,46.3,"36,105",24.1,26.8,,ot em ready dramai cook pot im drankin treat like obamai got collard greens like farmerdrive jaguar ,Not Mentioned,Positive
Yelawolf,Sky's the Limit,Love Story,2015,Obama,46.3,"36,105",24.1,26.8,,l that maybe got wrong witnessi heard jay zs cool obamaobama must cool i guess im packin hondai high,Not Mentioned,Positive
Chief Keef,Granny's,"The Leek, Vol. 1",2015,Obama,46.3,"36,105",24.1,26.8,,tree treeshoot nigga deceasedthem im go dcand ask obama see mehe said yeah 3dtryna like jayz get mil,Not Mentioned,Negative
Madonna,Illuminati,Rebel Heart,2015,Obama,46.3,"36,105",24.1,26.8,,,Not Mentioned,Not Mentioned
Alligatoah,Hab ich recht,Musik ist keine Lösung,2015,Obama,46.3,"36,105",24.1,26.8,,schweigenwie wie wie bittejetzt mal ganz im ernst obama oder oderund immer dieser 70er trend ich bin,Not Mentioned,Positive
Lil Dicky,Oh Well,Professional Rapper,2015,Obama,46.3,"36,105",24.1,26.8,,oughi dont know world homei even know first thing obama doim better tellin yall lebron doini dont ev,Not Mentioned,Negative
Alex Wiley,Navigator Truck,Village Party 2: Heaven's Gate,2015,Obama,46.3,"36,105",24.1,26.8,,lephonejust let shit breathescooter madonnadinner obamaswe hit hawaii ohanacomma comma commai keep c,Not Mentioned,Negative
Lil Wayne,No Haters,Sorry 4 The Wait 2,2015,Obama,46.3,"36,105",24.1,26.8,,igga grab walleti got hook rocket launchersi told obama fuck me know i got itslim need fuck know i g,Not Mentioned,Negative
Fifth Harmony,BO$$,Reflection,2015,Obama,46.3,"36,105",24.1,26.8,,ught meso yo ass better show respectboss michelle obamapurse heavy gettin oprah dollasboss michelle ,Not Mentioned,Positive
Lupe Fiasco,Chopper,Tetsuo & Youth,2015,Obama,46.3,"36,105",24.1,26.8,,t mignon food stampscar cosigned mamamedical card obamabackground check chopperbridge lupe fiascobac,Not Mentioned,Negative
Empire Cast,No Apologies,Empire (Original Soundtrack from Season 1),2015,Obama,46.3,"36,105",24.1,26.8,,nt nobody stop me yalli aint goin nowherenot even obama yallim loose cannonim comin yah gunnin yahho,Not Mentioned,Negative
Future,Last Breath,Creed (Original Motion Picture Soundtrack),2015,Obama,46.3,"36,105",24.1,26.8,,ilt new reputationblood sweat tears new foundationobama main line i could run nationi got angels aro,Not Mentioned,Positive
Tech N9ne,Aw Yeah? (interVENTion),Special Effects,2015,Obama,46.3,"36,105",24.1,26.8,,hell brother gonna trust always dishonorhate like obamaand i aint even got around askin question god,Not Mentioned,Negative
Vince Staples,Norf Norf,Summertime '06,2015,Obama,46.3,"36,105",24.1,26.8,,cashschool fun bring gunknow change gon come like obama would saybut shootin everyday round mama way,Not Mentioned,Positive
Kendrick Lamar,Hood Politics,To Pimp a Butterfly,2015,Obama,46.3,"36,105",24.1,26.8,,l us thugsmake promise fuck youno condom fuck you obama say what doobama say what doobama say what d,Not Mentioned,Positive
Mac Miller,Red Dot Music,Watching Movies With the Sound Off,2013,Obama,46.5,"34,235",26.2,14.2,arkim gon rob chumpon party fifth ave like donald trumpnigga give shiti liked better easy macwith ch,,Positive,Not Mentioned
Mac Miller,Red Dot Music,Watching Movies With the Sound Off,2013,Obama,46.5,"33,307",26.2,14.2,arkim gon rob chumpon party fifth ave like donald trumpnigga give shiti liked better easy macwith ch,,Positive,Not Mentioned
Wax,I Shoulda Tried Harder,Continue...,2013,Obama,46.5,"34,235",26.2,14.2,tiger woods yeah i possibly talking youbut donald trump i aint talking youto man whos pope i aint ta,,Positive,Not Mentioned
Wax,I Shoulda Tried Harder,Continue...,2013,Obama,46.5,"33,307",26.2,14.2,tiger woods yeah i possibly talking youbut donald trump i aint talking youto man whos pope i aint ta,,Positive,Not Mentioned
N.O.R.E.,Tadow,none,2013,Obama,46.5,"34,235",26.2,14.2,ck backi bagged that i pumped thati real estate i trump thatyall dumps atyall punks ati choppers ooz,,Negative,Not Mentioned
N.O.R.E.,Tadow,none,2013,Obama,46.5,"33,307",26.2,14.2,ck backi bagged that i pumped thati real estate i trump thatyall dumps atyall punks ati choppers ooz,,Negative,Not Mentioned
Big Sean,10 2 10 (Remix),Hall of Fame,2013,Obama,46.5,"34,235",26.2,14.2,ermindmy kilos ice sneakers snow whitei got place trump pray advicemy new bitch hispanic got speakin,,Positive,Not Mentioned
